facility_id,slug,facility_name,county,city,agency,facility_type,street,zip,last_verified,field_status,subarea_id,subarea_name,access,federal_classification,federal_confidence,california_classification,california_confidence,recording_status,recording_summary,restriction_activities,restriction_statuses,restriction_summaries,indoor_space_type,privacy_context,hipaa_posture,facility_privacy_responsibility,visitor_privacy_responsibility,privacy_recording_effect,rights_risk_signals,enforcement_event_count,enforcement_assessments,unresolved_reason
CA-013-F0003,concord-dmv,Concord DMV Field Office,Contra Costa County,Concord,California Department of Motor Vehicles,STATE_ADMINISTRATIVE_SERVICE,2070 Diamond Boulevard,94520,2026-09-23,PRE_FIELD,S001,Actual Diamond / Meridian Park ordinary municipal sidewalk or ROW,PUBLIC,TPF,HIGH,TPF,HIGH,SEPARATE_ANALYSIS,Ordinary public-place recording doctrine applies; exact conduct still matters.,RECORDING,NO_MATERIAL_RESTRICTION_LOCATED,No material general recording prohibition has been established in the current record for this subarea. Any future claimed restriction must be separately sourced and constitutionally tested.,,,,,,,,0,,
CA-013-F0003,concord-dmv,Concord DMV Field Office,Contra Costa County,Concord,California Department of Motor Vehicles,STATE_ADMINISTRATIVE_SERVICE,2070 Diamond Boulevard,94520,2026-09-23,PRE_FIELD,S002,Facility-specific Diamond access drive / walk,PUBLIC,NPF,MEDIUM,UNRESOLVED,NONE,NO_GENERAL_BAN_LOCATED,No general field-office camera rule was located online.,RECORDING,NO_MATERIAL_RESTRICTION_LOCATED,No material general recording prohibition has been established in the current record for this subarea. Any future claimed restriction must be separately sourced and constitutionally tested.,,,,,,,,0,,Diamond ingress legal geometry/control remains unresolved.
CA-013-F0003,concord-dmv,Concord DMV Field Office,Contra Costa County,Concord,California Department of Motor Vehicles,STATE_ADMINISTRATIVE_SERVICE,2070 Diamond Boulevard,94520,2026-09-23,PRE_FIELD,S003,Customer parking,PUBLIC,NPF,MEDIUM,UNRESOLVED,NONE,NO_GENERAL_BAN_LOCATED,No general field-office camera rule was located online.,RECORDING,NO_MATERIAL_RESTRICTION_LOCATED,No material general recording prohibition has been established in the current record for this subarea. Any future claimed restriction must be separately sourced and constitutionally tested.,,,,,,,,0,,California Speech Clause treatment of the customer lot remains unresolved.
CA-013-F0003,concord-dmv,Concord DMV Field Office,Contra Costa County,Concord,California Department of Motor Vehicles,STATE_ADMINISTRATIVE_SERVICE,2070 Diamond Boulevard,94520,2026-09-23,PRE_FIELD,S004,Exterior customer queue / immediate facility approach,PUBLIC,NPF,MEDIUM,UNRESOLVED,NONE,NO_GENERAL_BAN_LOCATED,No general field-office camera rule was located online.,RECORDING,NO_MATERIAL_RESTRICTION_LOCATED,No material general recording prohibition has been established in the current record for this subarea. Any future claimed restriction must be separately sourced and constitutionally tested.,,,,,,,,0,,Exact footprint and California classification remain open.
CA-013-F0003,concord-dmv,Concord DMV Field Office,Contra Costa County,Concord,California Department of Motor Vehicles,STATE_ADMINISTRATIVE_SERVICE,2070 Diamond Boulevard,94520,2026-09-23,PRE_FIELD,S005,Ordinary lobby / waiting,PUBLIC,NPF,HIGH,UNRESOLVED,NONE,NO_GENERAL_BAN_LOCATED,NPF status tells us the standard for an actual restriction; it does not create a camera ban.,RECORDING,NO_MATERIAL_RESTRICTION_LOCATED,"Recording can be First Amendment-protected activity in this public-access indoor subarea. No material general recording prohibition is established in the current record; any later claimed restriction must identify its legal source and survive the applicable forum, privacy, and activity-specific constitutional analysis.",WAITING_AREA,ROUTINE_SENSITIVE_INFORMATION_POSSIBLE,NOT_INDICATED,"DMV retains responsibility for safeguarding driver, identity, transaction, and system information under laws and policies that apply to the agency. Public-facing design does not transfer that duty to ordinary visitors.",A lawful visitor does not assume DMV's confidentiality duties merely by waiting in the public lobby. Any direct restriction on the visitor must come from applicable law or a constitutionally valid rule.,"The possibility of personal information in the lobby can support narrower safeguards, but it does not itself establish a general no-recording rule.",,0,,California Speech Clause classification remains genuinely unresolved.
CA-013-F0003,concord-dmv,Concord DMV Field Office,Contra Costa County,Concord,California Department of Motor Vehicles,STATE_ADMINISTRATIVE_SERVICE,2070 Diamond Boulevard,94520,2026-09-23,PRE_FIELD,S006,Customer service counters / transaction zones,PUBLIC,NPF,HIGH,UNRESOLVED,NONE,SEPARATE_ANALYSIS,Privacy and exposed records can support narrower restrictions; the actual rule and exposed information must be identified.,RECORDING,NO_MATERIAL_RESTRICTION_LOCATED,"Recording can be First Amendment-protected activity in this public-access indoor subarea. No material general recording prohibition is established in the current record; any later claimed restriction must identify its legal source and survive the applicable forum, privacy, and activity-specific constitutional analysis.",PUBLIC_SERVICE_COUNTER,CONFIDENTIAL_INTERACTION_POSSIBLE,NOT_INDICATED,"DMV remains responsible for protecting nonpublic records, screens, and transaction information from unnecessary exposure and for using appropriate operational safeguards.",A member of the public does not become responsible for enforcing DMV's confidentiality duties. Independent privacy law and a valid narrowly supported facility rule can still apply to particular recording conduct.,A counter-level privacy concern must be tied to the actual information or interaction at risk. That can justify a narrower restriction without establishing a lobby-wide camera ban.,,0,,California interior classification remains unresolved.
CA-013-F0003,concord-dmv,Concord DMV Field Office,Contra Costa County,Concord,California Department of Motor Vehicles,STATE_ADMINISTRATIVE_SERVICE,2070 Diamond Boulevard,94520,2026-09-23,PRE_FIELD,S007,Knowledge-test stations,CONDITIONED_PUBLIC,NPF,HIGH,UNRESOLVED,NONE,ACTIVITY_SPECIFIC_RULE,Current handbook prohibits use of a cell phone as a testing aid during the knowledge test.,RECORDING,RULE_LOCATED_UNTESTED,An activity-specific device rule is documented here. The Registry records the rule but does not presume that it authorizes a broader camera/recording prohibition or that every application is constitutional.,,,,,,,,0,,"California forum label remains unresolved, but the activity-specific testing rule is verified."
CA-013-F0003,concord-dmv,Concord DMV Field Office,Contra Costa County,Concord,California Department of Motor Vehicles,STATE_ADMINISTRATIVE_SERVICE,2070 Diamond Boulevard,94520,2026-09-23,PRE_FIELD,S008,Employee / secure / records / equipment areas,RESTRICTED,NOT_PUBLIC,HIGH,NOT_PUBLIC,HIGH,NOT_APPLICABLE,No public-lobby inference applies.,ACCESS_REMOVAL,NOT_APPLICABLE,This subarea is classified outside the ordinary public-access channel. Any disputed exclusion still turns on the actual boundary and access authority; no public-forum permission is inferred.,,,,,,,,0,,
CA-013-F0001,concord-library,Concord Library,Contra Costa County,Concord,Contra Costa County Library,PUBLIC_LIBRARY,2900 Salvio Street,94519,2026-09-23,PRE_FIELD,S001,Salvio / Parkside ordinary municipal sidewalks,PUBLIC,TPF,HIGH,TPF,HIGH,SEPARATE_ANALYSIS,Ordinary public-place recording rules apply; exact conduct still matters.,RECORDING,NO_MATERIAL_RESTRICTION_LOCATED,No material general recording prohibition has been established in the current record for this subarea. Any future claimed restriction must be separately sourced and constitutionally tested.,,,,,,,,0,,
CA-013-F0001,concord-library,Concord Library,Contra Costa County,Concord,Contra Costa County Library,PUBLIC_LIBRARY,2900 Salvio Street,94519,2026-09-23,PRE_FIELD,S002,Public entrance / immediate east approach,PUBLIC,TPF,HIGH,TPF,HIGH,NO_GENERAL_BAN_LOCATED,No branch-wide patron-camera rule was located online; a specific restriction would require separate analysis.,RECORDING,NO_MATERIAL_RESTRICTION_LOCATED,No material general recording prohibition has been established in the current record for this subarea. Any future claimed restriction must be separately sourced and constitutionally tested.,,,,,,,,0,,
